target,x_m,y_m,true_contact_time_s,true_contact_idx,contact_phase,sampling_spacing_m,tolerance_m,max_boundary_points,warmup_ignore_s
B1,1.000000,1.800000,0.000000,1,IDLE,0.100000,0.050000,2000,2.000000
B2,1.000000,1.320000,0.000000,1,IDLE,0.100000,0.050000,2000,2.000000
B3,1.000000,0.840000,0.000000,1,IDLE,0.100000,0.050000,2000,2.000000
B4,1.000000,0.280000,0.000000,1,IDLE,0.100000,0.050000,2000,2.000000
B5,1.000000,-0.200000,0.000000,1,IDLE,0.100000,0.050000,2000,2.000000
B6,1.000000,-0.680000,0.000000,1,IDLE,0.100000,0.050000,2000,2.000000
B7,1.000000,-1.160000,0.000000,1,IDLE,0.100000,0.050000,2000,2.000000
B8,1.000000,-1.720000,0.000000,1,IDLE,0.100000,0.050000,2000,2.000000
B9,1.000000,-2.200000,0.000000,1,IDLE,0.100000,0.050000,2000,2.000000
B10,1.000000,-2.680000,0.000000,1,IDLE,0.100000,0.050000,2000,2.000000
B11,1.000000,-3.160000,0.000000,1,IDLE,0.100000,0.050000,2000,2.000000
B12,1.000000,-3.720000,0.000000,1,IDLE,0.100000,0.050000,2000,2.000000
B13,1.000000,-4.200000,0.000000,1,IDLE,0.100000,0.050000,2000,2.000000
B14,1.000000,-4.680000,0.000000,1,IDLE,0.100000,0.050000,2000,2.000000
B15,1.000000,-5.160000,0.000000,1,IDLE,0.100000,0.050000,2000,2.000000
B16,1.000000,-5.720000,0.000000,1,IDLE,0.100000,0.050000,2000,2.000000
B17,1.000000,-6.200000,0.000000,1,IDLE,0.100000,0.050000,2000,2.000000
B18,1.000000,-6.680000,0.000000,1,IDLE,0.100000,0.050000,2000,2.000000
B19,1.000000,-7.160000,0.000000,1,IDLE,0.100000,0.050000,2000,2.000000
B20,1.000000,-7.720000,0.000000,1,IDLE,0.100000,0.050000,2000,2.000000
B21,1.000000,-8.200000,0.000000,1,IDLE,0.100000,0.050000,2000,2.000000
B22,1.000000,-8.680000,0.000000,1,IDLE,0.100000,0.050000,2000,2.000000
B23,1.000000,-9.160000,0.000000,1,IDLE,0.100000,0.050000,2000,2.000000
B24,1.000000,-9.720000,0.000000,1,IDLE,0.100000,0.050000,2000,2.000000
B25,1.000000,-10.200000,0.000000,1,IDLE,0.100000,0.050000,2000,2.000000
B26,1.000000,-10.680000,0.000000,1,IDLE,0.100000,0.050000,2000,2.000000
B27,1.000000,-11.160000,0.000000,1,IDLE,0.100000,0.050000,2000,2.000000
B28,1.000000,1.920000,0.040000,3,IDLE,0.100000,0.050000,2000,2.000000
B29,1.000000,2.400000,0.200000,11,IDLE,0.100000,0.050000,2000,2.000000
B30,1.000000,2.880000,0.360000,19,IDLE,0.100000,0.050000,2000,2.000000
B31,1.000000,3.280000,0.480000,25,IDLE,0.100000,0.050000,2000,2.000000
B32,1.000000,3.960000,0.720000,37,IDLE,0.100000,0.050000,2000,2.000000
B33,1.000000,4.440000,0.880000,45,IDLE,0.100000,0.050000,2000,2.000000
B34,1.000000,4.920000,1.040000,53,IDLE,0.100000,0.050000,2000,2.000000
B35,1.000000,5.400000,1.200000,61,IDLE,0.100000,0.050000,2000,2.000000
B36,1.000000,5.880000,1.360000,69,IDLE,0.100000,0.050000,2000,2.000000
B37,1.000000,6.280000,1.480000,75,IDLE,0.100000,0.050000,2000,2.000000
B38,1.000000,6.960000,1.720000,87,IDLE,0.100000,0.050000,2000,2.000000
B39,1.000000,7.440000,1.880000,95,IDLE,0.100000,0.050000,2000,2.000000
B40,1.000000,7.920000,2.040000,103,IDLE,0.100000,0.050000,2000,2.000000
B41,1.000000,8.400000,2.200000,111,IDLE,0.100000,0.050000,2000,2.000000
B42,1.000000,8.880000,2.360000,119,IDLE,0.100000,0.050000,2000,2.000000
B43,1.000000,9.280000,2.480000,125,IDLE,0.100000,0.050000,2000,2.000000
B44,1.000000,9.960000,2.720000,137,IDLE,0.100000,0.050000,2000,2.000000
B45,1.000000,10.440000,2.880000,145,IDLE,0.100000,0.050000,2000,2.000000
B46,1.000121,10.919990,3.040000,153,IDLE,0.100000,0.050000,2000,2.000000
B47,1.003178,11.399721,3.200000,161,IDLE,0.100000,0.050000,2000,2.000000
B48,1.010360,11.879007,3.360000,169,IDLE,0.100000,0.050000,2000,2.000000
B49,1.022058,12.277715,3.480000,175,ENTRY,0.100000,0.050000,2000,2.000000
B50,1.044212,12.955096,3.720000,187,ENTRY,0.100000,0.050000,2000,2.000000
B51,1.054827,13.033686,3.740000,188,ENTRY,0.100000,0.050000,2000,2.000000
B52,1.052648,12.473691,3.560000,179,ENTRY,0.100000,0.050000,2000,2.000000
B53,1.050780,11.993694,3.400000,171,ENTRY,0.100000,0.050000,2000,2.000000
B54,1.054368,11.632910,3.280000,165,IDLE,0.100000,0.050000,2000,2.000000
B55,1.051952,11.072915,3.160000,159,IDLE,0.100000,0.050000,2000,2.000000
B56,1.068148,13.432045,3.880000,195,ENTRY,0.100000,0.050000,2000,2.000000
B57,1.052923,10.232081,3.220000,162,IDLE,0.100000,0.050000,2000,2.000000
B58,1.050258,9.672087,3.060000,154,IDLE,0.100000,0.050000,2000,2.000000
B59,1.053316,9.391190,3.240000,163,IDLE,0.100000,0.050000,2000,2.000000
B60,1.050807,8.911197,3.120000,157,IDLE,0.100000,0.050000,2000,2.000000
B61,1.052610,8.470243,3.220000,162,IDLE,0.100000,0.050000,2000,2.000000
B62,1.090037,13.789118,4.000000,201,ENTRY,0.100000,0.050000,2000,2.000000
B63,1.051613,7.629238,3.180000,160,IDLE,0.100000,0.050000,2000,2.000000
B64,1.052553,7.188165,3.220000,162,IDLE,0.100000,0.050000,2000,2.000000
B65,1.053691,6.827029,3.280000,165,IDLE,0.100000,0.050000,2000,2.000000
B66,1.050165,6.347042,3.080000,155,IDLE,0.100000,0.050000,2000,2.000000
B67,1.050053,5.905846,3.120000,157,IDLE,0.100000,0.050000,2000,2.000000
B68,1.050836,5.624582,3.160000,159,IDLE,0.100000,0.050000,2000,2.000000
B69,1.144564,14.501396,4.240000,213,ENTRY,0.100000,0.050000,2000,2.000000
B70,1.154259,14.539848,4.240000,213,ENTRY,0.100000,0.050000,2000,2.000000
B71,1.052918,4.940382,3.280000,165,IDLE,0.100000,0.050000,2000,2.000000
B72,1.157050,13.938260,4.100000,206,ENTRY,0.100000,0.050000,2000,2.000000
B73,1.150736,13.378296,4.080000,205,ENTRY,0.100000,0.050000,2000,2.000000
B74,1.159199,13.336602,4.140000,208,ENTRY,0.100000,0.050000,2000,2.000000
B75,1.152468,12.776642,4.120000,207,ENTRY,0.100000,0.050000,2000,2.000000
B76,1.189298,14.974689,4.400000,221,ENTRY,0.100000,0.050000,2000,2.000000
B77,1.152470,12.094924,4.140000,208,ENTRY,0.100000,0.050000,2000,2.000000
B78,1.201570,15.092799,4.440000,223,ENTRY,0.100000,0.050000,2000,2.000000
B79,1.151585,11.413138,4.180000,210,ENTRY,0.100000,0.050000,2000,2.000000
B80,1.155517,11.131242,4.220000,212,ENTRY,0.100000,0.050000,2000,2.000000
B81,1.227448,15.328747,4.520000,227,ENTRY,0.100000,0.050000,2000,2.000000
B82,1.150581,10.289333,4.240000,213,ENTRY,0.100000,0.050000,2000,2.000000
B83,1.154634,10.087278,4.280000,215,ENTRY,0.100000,0.050000,2000,2.000000
B84,1.255129,15.564319,4.600000,231,ENTRY,0.100000,0.050000,2000,2.000000
B85,1.154349,9.645177,4.300000,216,ENTRY,0.100000,0.050000,2000,2.000000
B86,1.259604,15.122050,4.480000,225,ENTRY,0.100000,0.050000,2000,2.000000
B87,1.250988,14.642127,4.480000,225,ENTRY,0.100000,0.050000,2000,2.000000
B88,1.051394,3.523918,3.640000,183,ENTRY,0.100000,0.050000,2000,2.000000
B89,1.254402,14.199785,4.500000,226,ENTRY,0.100000,0.050000,2000,2.000000
B90,1.150070,8.680771,4.340000,218,ENTRY,0.100000,0.050000,2000,2.000000
B91,1.255569,13.677378,4.540000,228,ENTRY,0.100000,0.050000,2000,2.000000
B92,1.152200,8.478406,4.380000,220,ENTRY,0.100000,0.050000,2000,2.000000
B93,1.254206,13.074913,4.580000,230,ENTRY,0.100000,0.050000,2000,2.000000
B94,1.150628,8.115995,4.400000,221,ENTRY,0.100000,0.050000,2000,2.000000
B95,1.257031,12.712318,4.620000,232,ENTRY,0.100000,0.050000,2000,2.000000
B96,1.151849,7.913471,4.440000,223,ENTRY,0.100000,0.050000,2000,2.000000
B97,1.253726,12.109705,4.640000,233,ENTRY,0.100000,0.050000,2000,2.000000
B98,1.366623,16.385611,4.880000,245,ENTRY,0.100000,0.050000,2000,2.000000
B99,1.355078,15.905750,4.740000,238,ENTRY,0.100000,0.050000,2000,2.000000
B100,1.251173,11.587000,4.680000,235,ENTRY,0.100000,0.050000,2000,2.000000
B101,1.360294,15.542804,4.780000,240,ENTRY,0.100000,0.050000,2000,2.000000
B102,1.259649,11.544071,4.720000,237,ENTRY,0.100000,0.050000,2000,2.000000
B103,1.150952,7.225439,4.500000,226,ENTRY,0.100000,0.050000,2000,2.000000
B104,1.354372,14.779910,4.820000,242,ENTRY,0.100000,0.050000,2000,2.000000
B105,1.253393,10.941238,4.740000,238,ENTRY,0.100000,0.050000,2000,2.000000
B106,1.357849,14.416803,4.860000,244,ENTRY,0.100000,0.050000,2000,2.000000
B107,1.252409,10.578251,4.780000,240,ENTRY,0.100000,0.050000,2000,2.000000
B108,1.362918,14.133578,4.900000,246,ENTRY,0.100000,0.050000,2000,2.000000
B109,1.255209,10.375121,4.800000,241,ENTRY,0.100000,0.050000,2000,2.000000
B110,1.458221,16.888907,5.040000,253,ENTRY,0.100000,0.050000,2000,2.000000
B111,1.357891,13.530405,4.920000,247,ENTRY,0.100000,0.050000,2000,2.000000
B112,1.250394,9.932010,4.840000,243,ENTRY,0.100000,0.050000,2000,2.000000
B113,1.460974,16.445465,5.000000,251,ENTRY,0.100000,0.050000,2000,2.000000
B114,1.356476,13.087090,4.960000,249,ENTRY,0.100000,0.050000,2000,2.000000
B115,1.152457,6.530263,4.620000,232,ENTRY,0.100000,0.050000,2000,2.000000
B116,1.452445,15.682107,5.040000,253,ENTRY,0.100000,0.050000,2000,2.000000
B117,1.253064,9.525335,4.900000,246,ENTRY,0.100000,0.050000,2000,2.000000
B118,1.460971,15.478379,5.080000,255,ENTRY,0.100000,0.050000,2000,2.000000
B119,1.358646,12.440101,5.020000,252,ENTRY,0.100000,0.050000,2000,2.000000
B120,1.151304,6.283592,4.660000,234,ENTRY,0.100000,0.050000,2000,2.000000
B121,1.452325,14.794843,5.100000,256,ENTRY,0.100000,0.050000,2000,2.000000
B122,1.250851,9.038368,4.960000,249,ENTRY,0.100000,0.050000,2000,2.000000
B123,1.555310,17.229195,5.180000,260,ENTRY,0.100000,0.050000,2000,2.000000
B124,1.453606,14.431043,5.140000,258,ENTRY,0.100000,0.050000,2000,2.000000
B125,1.250198,8.834738,4.980000,250,ENTRY,0.100000,0.050000,2000,2.000000
B126,1.562565,16.945114,5.220000,262,ENTRY,0.100000,0.050000,2000,2.000000
B127,1.460038,14.227047,5.180000,260,ENTRY,0.100000,0.050000,2000,2.000000
B128,1.351480,11.349094,5.120000,257,ENTRY,0.100000,0.050000,2000,2.000000
B129,1.556692,16.341181,5.260000,264,ENTRY,0.100000,0.050000,2000,2.000000
B130,1.450366,13.623260,5.220000,262,ENTRY,0.100000,0.050000,2000,2.000000
B131,1.153280,6.029069,4.720000,237,ENTRY,0.100000,0.050000,2000,2.000000
B132,1.555742,15.897057,5.280000,265,ENTRY,0.100000,0.050000,2000,2.000000
B133,1.358039,11.021063,5.200000,261,ENTRY,0.100000,0.050000,2000,2.000000
B134,1.650994,17.770815,5.360000,269,ENTRY,0.100000,0.050000,2000,2.000000
B135,1.459651,13.214831,5.300000,266,ENTRY,0.100000,0.050000,2000,2.000000
B136,1.685874,18.125645,5.480000,275,ENTRY,0.100000,0.050000,2000,2.000000
B137,1.651126,17.326400,5.380000,270,ENTRY,0.100000,0.050000,2000,2.000000
B138,1.463485,13.010477,5.320000,267,ENTRY,0.100000,0.050000,2000,2.000000
B139,1.254995,8.215007,5.140000,258,ENTRY,0.100000,0.050000,2000,2.000000
B140,1.660870,17.121666,5.420000,272,ENTRY,0.100000,0.050000,2000,2.000000
B141,1.553025,14.724091,5.400000,271,ENTRY,0.100000,0.050000,2000,2.000000
B142,1.355311,10.328535,5.300000,266,ENTRY,0.100000,0.050000,2000,2.000000
B143,1.666416,16.836913,5.460000,274,ENTRY,0.100000,0.050000,2000,2.000000
B144,1.558627,14.519419,5.440000,273,ENTRY,0.100000,0.050000,2000,2.000000
B145,1.354201,10.124170,5.320000,267,ENTRY,0.100000,0.050000,2000,2.000000
B146,1.755710,18.310038,5.540000,278,ENTRY,0.100000,0.050000,2000,2.000000
B147,1.563664,14.314651,5.480000,275,ENTRY,0.100000,0.050000,2000,2.000000
B148,1.352414,9.919725,5.360000,269,ENTRY,0.100000,0.050000,2000,2.000000
B149,1.758531,17.945063,5.560000,279,ENTRY,0.100000,0.050000,2000,2.000000
B150,1.651421,15.787721,5.540000,278,ENTRY,0.100000,0.050000,2000,2.000000
B151,1.453070,11.792642,5.460000,274,ENTRY,0.100000,0.050000,2000,2.000000
B152,1.768521,17.739796,5.600000,281,ENTRY,0.100000,0.050000,2000,2.000000
B153,1.657951,15.582628,5.560000,279,ENTRY,0.100000,0.050000,2000,2.000000
B154,1.461383,11.747663,5.500000,276,ENTRY,0.100000,0.050000,2000,2.000000
B155,1.765298,17.294757,5.620000,282,ENTRY,0.100000,0.050000,2000,2.000000
B156,1.655440,15.217661,5.600000,281,ENTRY,0.100000,0.050000,2000,2.000000
B157,1.452624,11.383020,5.520000,277,ENTRY,0.100000,0.050000,2000,2.000000
B158,1.860947,18.686924,5.680000,285,ENTRY,0.100000,0.050000,2000,2.000000
B159,1.760725,16.849655,5.660000,284,ENTRY,0.100000,0.050000,2000,2.000000
B160,1.555922,13.095237,5.620000,282,ENTRY,0.100000,0.050000,2000,2.000000
B161,1.351119,9.340819,5.480000,275,ENTRY,0.100000,0.050000,2000,2.000000
B162,1.858067,18.241592,5.720000,287,ENTRY,0.100000,0.050000,2000,2.000000
B163,1.664924,14.807019,5.680000,285,ENTRY,0.100000,0.050000,2000,2.000000
B164,1.458306,11.132824,5.600000,281,ENTRY,0.100000,0.050000,2000,2.000000
B165,1.867684,18.035797,5.760000,289,ENTRY,0.100000,0.050000,2000,2.000000
B166,1.751987,16.039147,5.740000,288,ENTRY,0.100000,0.050000,2000,2.000000
B167,1.552988,12.604907,5.680000,285,ENTRY,0.100000,0.050000,2000,2.000000
B168,1.962490,19.267339,5.880000,295,ENTRY,0.100000,0.050000,2000,2.000000
B169,1.857637,17.510465,5.800000,291,ENTRY,0.100000,0.050000,2000,2.000000
B170,1.652697,14.076575,5.760000,289,ENTRY,0.100000,0.050000,2000,2.000000
B171,1.352435,9.045527,5.560000,279,ENTRY,0.100000,0.050000,2000,2.000000
B172,1.953785,18.741784,5.840000,293,ENTRY,0.100000,0.050000,2000,2.000000
B173,1.762442,15.627657,5.820000,292,ENTRY,0.100000,0.050000,2000,2.000000
B174,1.551475,12.194132,5.760000,289,ENTRY,0.100000,0.050000,2000,2.000000
B175,1.968575,18.615394,5.880000,295,ENTRY,0.100000,0.050000,2000,2.000000
B176,1.852463,16.779061,5.860000,294,ENTRY,0.100000,0.050000,2000,2.000000
B177,1.660626,13.745120,5.820000,292,ENTRY,0.100000,0.050000,2000,2.000000
B178,2.050517,19.526687,5.960000,299,ENTRY,0.100000,0.050000,2000,2.000000
B179,1.868781,16.732591,5.900000,296,ENTRY,0.100000,0.050000,2000,2.000000
B180,1.661084,13.539338,5.860000,294,ENTRY,0.100000,0.050000,2000,2.000000
B181,1.453386,10.346086,5.760000,289,ENTRY,0.100000,0.050000,2000,2.000000
B182,2.061150,19.320103,5.960000,299,ENTRY,0.100000,0.050000,2000,2.000000
B183,1.868964,16.446523,5.940000,298,ENTRY,0.100000,0.050000,2000,2.000000
B184,1.751517,14.690446,5.920000,297,ENTRY,0.100000,0.050000,2000,2.000000
B185,1.452561,10.220432,5.780000,290,ENTRY,0.100000,0.050000,2000,2.000000
B186,2.054668,18.873977,6.000000,301,ENTRY,0.100000,0.050000,2000,2.000000
B187,1.857154,16.000758,5.980000,300,ENTRY,0.100000,0.050000,2000,2.000000
